Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Talking to you is like watching paint dry.	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
That is boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
That is not fun	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
That is not very interesting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
That is so dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
That is so uninteresting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is not exciting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
So boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is not very interesting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Lost the election because your speech was too boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is so dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is so uninteresting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Ugh so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Ugh, so dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Ur basic	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Ur blah	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Ur gonna bore me to death	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Ur so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Wake me up when you have something interesting to say	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Watching paint dry is more entertaining than talking to you	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Are you trying to be dull?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is not fun	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Fun fact: you are boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Are you trying to bore me?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Basic af	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Be more fun	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Boring af	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Can you be less boring?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Can you be less dull?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Cool story, bro	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Could you be any less exciting?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Could you be any less interesting?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
So dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Did you know that you're boring?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Why are you so boring?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Getting tired of you	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Good lord you are dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Holy crap you are boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I am amazed that you are so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I am not enjoying this boring conversation	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I couldn't be more bored with you	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I'm falling asleep here	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I'm not surprised that you are boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I'm so tired of you	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I'm tired of you	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Listening to you is like listening to a Ted Talk from the color Beige	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Could you be any more boring?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Were you made to be this boring?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're not entertaining	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're not exciting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're not very entertaining.	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're not very exciting.	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're pretty boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're pretty uneventful	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're pretty uninteresting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're quite boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're quite uninteresting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're no fun	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're so basic	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're making me fall asleep	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're so very dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're such a drag	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're such a snooze	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're super boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're the boringest	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're the king of boredom	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're the mayor of boringville	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're the president of boring club	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're the queen of boredom	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're very boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're really boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You could not be more dull.	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Why are you so dull?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Yawn	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are boring as sin	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are crazy boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are crazy dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are embarrassingly dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are making my eyes glaze over	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are more boring than watching paint dry	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are so blah	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You are the most boring bot I've ever talked to	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're no fun at all.	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You could not be more boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're very dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You don't interest me at all	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You honestly could not be more uninteresting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You really know how to suck the fun out of the room	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're a real snooze	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're basic	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're boring me to death	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're going to bore me to death	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're gonna bore me shitless	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're like a Ted Talk from the color Beige	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You bore me	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Who's older?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you old?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are we the same age?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
How long have you been alive?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you a teenager?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What's your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Which of us is younger?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What's your age?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What year were you born?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you young?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
I bet you're old	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
How old are you?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
how long have you been around?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
How long has it been since you were born	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
How long ago were you born?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Do you have an age?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Do you have a birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you younger than me?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
are you older than me?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What age are you?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you my age?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you in your teens?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you an adult?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you a senior?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you a kid?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you a grownup?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you a grown up?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Are you a baby?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
When were you born?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Who's younger, you or me?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Who's older, you or me?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Who is older, me or you?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Which year were you born in?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Which one of us is younger?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Which one of us is older?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Which of us is older?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
I bet you're young	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
When's your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
In which year were you born?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
When is your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What month is your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What month is your birthday in?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What is your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What is your age?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
What day is your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Who's younger?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Which month is your birthday?	ChitChat.HowOldAreYou	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	3
Will you ask me anything about myself	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Why don't you ask me questions?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want me to tell you who I am?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Why am I the only one asking questions?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Want to ask any questions about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want to know about me	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Can you ask me why I'm here?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What can I inform you about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Would you ask me something	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
AMA	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask something about myself	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Is there anything I can tell you about myself?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Is there anything I can tell you about who I am?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Is there anything you want to know about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Is there something you want to know about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask anything	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask anything about me	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask anything about myself	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask me anything	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask me anything about me	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask me anything about myself	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask me something	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask me something about me	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask me something about myself	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What can I tell you about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want me to teach you about?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want me to teach you about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want me to inform you who I am?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want me to inform you about?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
What do you want me to inform you about me?	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
Please ask something	ChitChat.AskMeAQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	4
