Utterance	Intent	Orchestration Name
You're as entertaining as watching paint dry	Boring	ChitChat
You're boring	Boring	ChitChat
That is not exciting	Boring	ChitChat
U basic	Boring	ChitChat
Could you be any less entertaining?	Boring	ChitChat
You're so dull	Boring	ChitChat
You're not interesting	Boring	ChitChat
You're so blah	Boring	ChitChat
This is so boring	Boring	ChitChat
Why are you so boring	Boring	ChitChat
Talking to you is like watching paint dry.	Boring	ChitChat
That is boring	Boring	ChitChat
That is not fun	Boring	ChitChat
That is not very interesting	Boring	ChitChat
That is so dull	Boring	ChitChat
That is so uninteresting	Boring	ChitChat
This is boring	Boring	ChitChat
This is not exciting	Boring	ChitChat
So boring	Boring	ChitChat
This is not very interesting	Boring	ChitChat
Lost the election because your speech was too boring	Boring	ChitChat
This is so dull	Boring	ChitChat
This is so uninteresting	Boring	ChitChat
Ugh so boring	Boring	ChitChat
Ugh, so dull	Boring	ChitChat
Ur basic	Boring	ChitChat
Ur blah	Boring	ChitChat
Ur gonna bore me to death	Boring	ChitChat
Ur so boring	Boring	ChitChat
Wake me up when you have something interesting to say	Boring	ChitChat
Watching paint dry is more entertaining than talking to you	Boring	ChitChat
Are you trying to be dull?	Boring	ChitChat
This is not fun	Boring	ChitChat
Fun fact: you are boring	Boring	ChitChat
Are you trying to bore me?	Boring	ChitChat
Basic af	Boring	ChitChat
Be more fun	Boring	ChitChat
Boring	Boring	ChitChat
Boring af	Boring	ChitChat
Can you be less boring?	Boring	ChitChat
Can you be less dull?	Boring	ChitChat
Cool story, bro	Boring	ChitChat
Could you be any less exciting?	Boring	ChitChat
Could you be any less interesting?	Boring	ChitChat
So dull	Boring	ChitChat
Did you know that you're boring?	Boring	ChitChat
Why are you so boring?	Boring	ChitChat
Getting tired of you	Boring	ChitChat
Good lord you are dull	Boring	ChitChat
Holy crap you are boring	Boring	ChitChat
I am amazed that you are so boring	Boring	ChitChat
I am not enjoying this boring conversation	Boring	ChitChat
I couldn't be more bored with you	Boring	ChitChat
I'm falling asleep here	Boring	ChitChat
I'm not surprised that you are boring	Boring	ChitChat
I'm so tired of you	Boring	ChitChat
I'm tired of you	Boring	ChitChat
Listening to you is like listening to a Ted Talk from the color Beige	Boring	ChitChat
Could you be any more boring?	Boring	ChitChat
Were you made to be this boring?	Boring	ChitChat
You're not entertaining	Boring	ChitChat
You're not exciting	Boring	ChitChat
You're not very entertaining.	Boring	ChitChat
You're not very exciting.	Boring	ChitChat
You're pretty boring	Boring	ChitChat
You're pretty uneventful	Boring	ChitChat
You're pretty uninteresting	Boring	ChitChat
You're quite boring	Boring	ChitChat
You're quite uninteresting	Boring	ChitChat
You're no fun	Boring	ChitChat
You're so basic	Boring	ChitChat
You're making me fall asleep	Boring	ChitChat
You're so boring	Boring	ChitChat
You're so very dull	Boring	ChitChat
You're such a drag	Boring	ChitChat
You're such a snooze	Boring	ChitChat
You're super boring	Boring	ChitChat
You're the boringest	Boring	ChitChat
You're the king of boredom	Boring	ChitChat
You're the mayor of boringville	Boring	ChitChat
You're the president of boring club	Boring	ChitChat
You're the queen of boredom	Boring	ChitChat
You're very boring	Boring	ChitChat
You're really boring	Boring	ChitChat
You could not be more dull.	Boring	ChitChat
Why are you so dull?	Boring	ChitChat
Yawn	Boring	ChitChat
You are boring as sin	Boring	ChitChat
You are crazy boring	Boring	ChitChat
You are crazy dull	Boring	ChitChat
You are dull	Boring	ChitChat
You are embarrassingly dull	Boring	ChitChat
You are making my eyes glaze over	Boring	ChitChat
You are more boring than watching paint dry	Boring	ChitChat
You are so blah	Boring	ChitChat
You are the most boring bot I've ever talked to	Boring	ChitChat
You're no fun at all.	Boring	ChitChat
You could not be more boring	Boring	ChitChat
You're very dull	Boring	ChitChat
You don't interest me at all	Boring	ChitChat
You honestly could not be more uninteresting	Boring	ChitChat
You really know how to suck the fun out of the room	Boring	ChitChat
You're a real snooze	Boring	ChitChat
You're basic	Boring	ChitChat
You're boring me to death	Boring	ChitChat
You're dull	Boring	ChitChat
You're going to bore me to death	Boring	ChitChat
You're gonna bore me shitless	Boring	ChitChat
You're like a Ted Talk from the color Beige	Boring	ChitChat
You bore me	Boring	ChitChat
Who's older?	HowOldAreYou	ChitChat
Are you old?	HowOldAreYou	ChitChat
Are we the same age?	HowOldAreYou	ChitChat
How long have you been alive?	HowOldAreYou	ChitChat
Are you a teenager?	HowOldAreYou	ChitChat
What's your birthday?	HowOldAreYou	ChitChat
Which of us is younger?	HowOldAreYou	ChitChat
What's your age?	HowOldAreYou	ChitChat
What year were you born?	HowOldAreYou	ChitChat
Are you young?	HowOldAreYou	ChitChat
I bet you're old	HowOldAreYou	ChitChat
How old are you?	HowOldAreYou	ChitChat
how long have you been around?	HowOldAreYou	ChitChat
How long has it been since you were born	HowOldAreYou	ChitChat
How long ago were you born?	HowOldAreYou	ChitChat
Do you have an age?	HowOldAreYou	ChitChat
Do you have a birthday?	HowOldAreYou	ChitChat
Are you younger than me?	HowOldAreYou	ChitChat
are you older than me?	HowOldAreYou	ChitChat
What age are you?	HowOldAreYou	ChitChat
Are you my age?	HowOldAreYou	ChitChat
Are you in your teens?	HowOldAreYou	ChitChat
Are you an adult?	HowOldAreYou	ChitChat
Are you a senior?	HowOldAreYou	ChitChat
Are you a kid?	HowOldAreYou	ChitChat
Are you a grownup?	HowOldAreYou	ChitChat
Are you a grown up?	HowOldAreYou	ChitChat
Are you a baby?	HowOldAreYou	ChitChat
When were you born?	HowOldAreYou	ChitChat
Who's younger, you or me?	HowOldAreYou	ChitChat
Who's older, you or me?	HowOldAreYou	ChitChat
Who is older, me or you?	HowOldAreYou	ChitChat
Which year were you born in?	HowOldAreYou	ChitChat
Which one of us is younger?	HowOldAreYou	ChitChat
Which one of us is older?	HowOldAreYou	ChitChat
Which of us is older?	HowOldAreYou	ChitChat
I bet you're young	HowOldAreYou	ChitChat
When's your birthday?	HowOldAreYou	ChitChat
In which year were you born?	HowOldAreYou	ChitChat
When is your birthday?	HowOldAreYou	ChitChat
What month is your birthday?	HowOldAreYou	ChitChat
What month is your birthday in?	HowOldAreYou	ChitChat
What is your birthday?	HowOldAreYou	ChitChat
What is your age?	HowOldAreYou	ChitChat
What day is your birthday?	HowOldAreYou	ChitChat
Who's younger?	HowOldAreYou	ChitChat
Which month is your birthday?	HowOldAreYou	ChitChat
Will you ask me anything about myself	AskMeAQuestion	ChitChat
Why don't you ask me questions?	AskMeAQuestion	ChitChat
What do you want me to tell you who I am?	AskMeAQuestion	ChitChat
Why am I the only one asking questions?	AskMeAQuestion	ChitChat
Want to ask any questions about me?	AskMeAQuestion	ChitChat
What do you want to know about me	AskMeAQuestion	ChitChat
Can you ask me why I'm here?	AskMeAQuestion	ChitChat
What can I inform you about me?	AskMeAQuestion	ChitChat
Would you ask me something	AskMeAQuestion	ChitChat
AMA	AskMeAQuestion	ChitChat
Please ask something about myself	AskMeAQuestion	ChitChat
Is there anything I can tell you about myself?	AskMeAQuestion	ChitChat
Is there anything I can tell you about who I am?	AskMeAQuestion	ChitChat
Is there anything you want to know about me?	AskMeAQuestion	ChitChat
Is there something you want to know about me?	AskMeAQuestion	ChitChat
Please ask anything	AskMeAQuestion	ChitChat
Please ask anything about me	AskMeAQuestion	ChitChat
Please ask anything about myself	AskMeAQuestion	ChitChat
Please ask me anything	AskMeAQuestion	ChitChat
Please ask me anything about me	AskMeAQuestion	ChitChat
Please ask me anything about myself	AskMeAQuestion	ChitChat
Please ask me something	AskMeAQuestion	ChitChat
Please ask me something about me	AskMeAQuestion	ChitChat
Please ask me something about myself	AskMeAQuestion	ChitChat
What can I tell you about me?	AskMeAQuestion	ChitChat
What do you want me to teach you about?	AskMeAQuestion	ChitChat
What do you want me to teach you about me?	AskMeAQuestion	ChitChat
What do you want me to inform you who I am?	AskMeAQuestion	ChitChat
What do you want me to inform you about?	AskMeAQuestion	ChitChat
What do you want me to inform you about me?	AskMeAQuestion	ChitChat
Please ask something	AskMeAQuestion	ChitChat
What can I tell you about?	AskMeAQuestion	ChitChat
Please ask something about me	AskMeAQuestion	ChitChat
What can I teach you who I am?	AskMeAQuestion	ChitChat
What can I teach you about?	AskMeAQuestion	ChitChat
What can I teach you about me?	AskMeAQuestion	ChitChat
What can I inform you about?	AskMeAQuestion	ChitChat
Don't you want to know anything about me?	AskMeAQuestion	ChitChat
What can I tell you who I am?	AskMeAQuestion	ChitChat
Can you ask anything about me?	AskMeAQuestion	ChitChat
How about asking something about me?	AskMeAQuestion	ChitChat
Can you ask me something about me?	AskMeAQuestion	ChitChat
Can you ask me anything about myself?	AskMeAQuestion	ChitChat
Can you ask me anything about me?	AskMeAQuestion	ChitChat
Can you ask me anything?	AskMeAQuestion	ChitChat
Can you ask me something?	AskMeAQuestion	ChitChat
Can you ask anything about myself?	AskMeAQuestion	ChitChat
Can you ask anything?	AskMeAQuestion	ChitChat
Ask me something	AskMeAQuestion	ChitChat
Ask me anything	AskMeAQuestion	ChitChat
Ask me about something	AskMeAQuestion	ChitChat
Ask me about anything	AskMeAQuestion	ChitChat
Ask me a question	AskMeAQuestion	ChitChat
Can you ask me a question?	AskMeAQuestion	ChitChat
Do you want to ask me anything?	AskMeAQuestion	ChitChat
What do you want me to tell you about?	AskMeAQuestion	ChitChat
Don't you want to know about me?	AskMeAQuestion	ChitChat
Don't you want to ask me something?	AskMeAQuestion	ChitChat
Don't you want to ask me anything	AskMeAQuestion	ChitChat
Don't you want to ask anything about me?	AskMeAQuestion	ChitChat
Can you ask me something about myself?	AskMeAQuestion	ChitChat
Do you want to ask me something?	AskMeAQuestion	ChitChat
How about asking me something?	AskMeAQuestion	ChitChat
Do you want me to tell you anything?	AskMeAQuestion	ChitChat
Could you ask me something?	AskMeAQuestion	ChitChat
Could you ask me about something?	AskMeAQuestion	ChitChat
Can you ask something about myself?	AskMeAQuestion	ChitChat
Can you ask something about me?	AskMeAQuestion	ChitChat
Can you ask something?	AskMeAQuestion	ChitChat
Do you want to know anything about me?	AskMeAQuestion	ChitChat
Do you have any questions about me?	AskMeAQuestion	ChitChat
Any questions for me?	AskMeAQuestion	ChitChat
Is there anything you want to ask me?	AskMeAQuestion	ChitChat
Just ask me a question	AskMeAQuestion	ChitChat
Is there anything I can tell you about me?	AskMeAQuestion	ChitChat
What's something you want to ask me?	AskMeAQuestion	ChitChat
What questions do you have for me?	AskMeAQuestion	ChitChat
What are some questions for me?	AskMeAQuestion	ChitChat
Do you have any questions for me?	AskMeAQuestion	ChitChat
Would you ask something about myself	AskMeAQuestion	ChitChat
Would you ask something about me	AskMeAQuestion	ChitChat
Would you ask something	AskMeAQuestion	ChitChat
Would you ask me something about myself	AskMeAQuestion	ChitChat
What do you want me to teach you who I am	AskMeAQuestion	ChitChat
What's something you want to know about me?	AskMeAQuestion	ChitChat
I want you to ask me questions	AskMeAQuestion	ChitChat
I want you to ask about me	AskMeAQuestion	ChitChat
I want you to ask me a question	AskMeAQuestion	ChitChat
What do you want to know about me?	AskMeAQuestion	ChitChat
Can you ask questions?	AskMeAQuestion	ChitChat
Got any questions for me?	AskMeAQuestion	ChitChat
Why don't you ask me anything?	AskMeAQuestion	ChitChat
Would you ask me anything about myself	AskMeAQuestion	ChitChat
Why don't you ever ask me questions?	AskMeAQuestion	ChitChat
Now, it's your turn to ask questions	AskMeAQuestion	ChitChat
How about you ask me questions?	AskMeAQuestion	ChitChat
Want to learn more about me?	AskMeAQuestion	ChitChat
You have any questions for me?	AskMeAQuestion	ChitChat
How about you ask me something?	AskMeAQuestion	ChitChat
What do you want to learn about me	AskMeAQuestion	ChitChat
Would you ask me something about me	AskMeAQuestion	ChitChat
Why do I have to ask all the questions?	AskMeAQuestion	ChitChat
What would you like to learn about me	AskMeAQuestion	ChitChat
What would you like to learn about	AskMeAQuestion	ChitChat
Will you ask anything about me	AskMeAQuestion	ChitChat
What would you like to know about	AskMeAQuestion	ChitChat
Will you ask anything about myself	AskMeAQuestion	ChitChat
What do you want to learn about	AskMeAQuestion	ChitChat
What do you want to know about	AskMeAQuestion	ChitChat
What do you want to ask me about?	AskMeAQuestion	ChitChat
Ask me questions	AskMeAQuestion	ChitChat
What would you like to know about me	AskMeAQuestion	ChitChat
Will you ask something	AskMeAQuestion	ChitChat
Would you ask me anything about me	AskMeAQuestion	ChitChat
Would you ask me anything	AskMeAQuestion	ChitChat
Would you ask anything about myself	AskMeAQuestion	ChitChat
Would you ask anything about me	AskMeAQuestion	ChitChat
Would you ask anything	AskMeAQuestion	ChitChat
Will you ask anything	AskMeAQuestion	ChitChat
Will you ask something about me	AskMeAQuestion	ChitChat
What do you want me to tell you about me?	AskMeAQuestion	ChitChat
Will you ask me something about myself	AskMeAQuestion	ChitChat
Will you ask me something about me	AskMeAQuestion	ChitChat
Will you ask me something	AskMeAQuestion	ChitChat
Will you ask me anything about me	AskMeAQuestion	ChitChat
Will you ask me anything	AskMeAQuestion	ChitChat
Will you ask something about myself	AskMeAQuestion	ChitChat
Who's calling the shots?	WhoIsYourBoss	ChitChat
Who's in charge of you?	WhoIsYourBoss	ChitChat
You report to anyone?	WhoIsYourBoss	ChitChat
Does anyone tell you what to do?	WhoIsYourBoss	ChitChat
Who runs the show?	WhoIsYourBoss	ChitChat
Do you have a boss?	WhoIsYourBoss	ChitChat
Do you answer to anyone?	WhoIsYourBoss	ChitChat
What's the name of your manager?	WhoIsYourBoss	ChitChat
What is your director's name?	WhoIsYourBoss	ChitChat
Who's your boss?	WhoIsYourBoss	ChitChat
What's your director's name?	WhoIsYourBoss	ChitChat
What is the name of your boss	WhoIsYourBoss	ChitChat
What's the name of your supervisor	WhoIsYourBoss	ChitChat
Who tells you what to do?	WhoIsYourBoss	ChitChat
What's the name of your director?	WhoIsYourBoss	ChitChat
What's the name of your boss?	WhoIsYourBoss	ChitChat
What is your supervisor's name	WhoIsYourBoss	ChitChat
What is your manager's name?	WhoIsYourBoss	ChitChat
What is your boss' name?	WhoIsYourBoss	ChitChat
What is the name of your supervisor	WhoIsYourBoss	ChitChat
What is the name of your manager?	WhoIsYourBoss	ChitChat
What is the name of your manager	WhoIsYourBoss	ChitChat
What is the name of your director?	WhoIsYourBoss	ChitChat
What is the name of your director	WhoIsYourBoss	ChitChat
What is the name of your boss?	WhoIsYourBoss	ChitChat
What's your boss' name?	WhoIsYourBoss	ChitChat
Who call the shots?	WhoIsYourBoss	ChitChat
You don't answer to anyone?	WhoIsYourBoss	ChitChat
Does anyone boss you around?	WhoIsYourBoss	ChitChat
Who's your master?	WhoIsYourBoss	ChitChat
So no one tells you what to do?	WhoIsYourBoss	ChitChat
Is there anyone you listen to?	WhoIsYourBoss	ChitChat
Is there anyone you answer to?	WhoIsYourBoss	ChitChat
Who runs you?	WhoIsYourBoss	ChitChat
Is there anyone who tells you what to do?	WhoIsYourBoss	ChitChat
Who is your master?	WhoIsYourBoss	ChitChat
Who supervises you?	WhoIsYourBoss	ChitChat
Who's running the show?	WhoIsYourBoss	ChitChat
Who bosses you?	WhoIsYourBoss	ChitChat
You've got a boss?	WhoIsYourBoss	ChitChat
You have a boss?	WhoIsYourBoss	ChitChat
Who's your supervisor	WhoIsYourBoss	ChitChat
Who's your manager?	WhoIsYourBoss	ChitChat
Who's your director?	WhoIsYourBoss	ChitChat
Who's in charge?	WhoIsYourBoss	ChitChat
Whom do you serve?	WhoIsYourBoss	ChitChat
You don't have a boss?	WhoIsYourBoss	ChitChat
You answer to anyone?	WhoIsYourBoss	ChitChat
Who is your manager?	WhoIsYourBoss	ChitChat
Who is your leader?	WhoIsYourBoss	ChitChat
Who is your director?	WhoIsYourBoss	ChitChat
Who is your boss?	WhoIsYourBoss	ChitChat
Who is in charge of you?	WhoIsYourBoss	ChitChat
Who do you serve?	WhoIsYourBoss	ChitChat
Who do you report to?	WhoIsYourBoss	ChitChat
Who do you answer to?	WhoIsYourBoss	ChitChat
Who directs you?	WhoIsYourBoss	ChitChat
Who bosses you around?	WhoIsYourBoss	ChitChat
What's your manager's name?	WhoIsYourBoss	ChitChat
Can you jump rope?	ImpossibleAction	ChitChat
Are you able to draw a picture?	ImpossibleAction	ChitChat
Can you show me how to dance?	ImpossibleAction	ChitChat
Are you able to go to the moon?	ImpossibleAction	ChitChat
Can you cook dinner for me	ImpossibleAction	ChitChat
Are you able to do my chores?	ImpossibleAction	ChitChat
Can you breathe under water?	ImpossibleAction	ChitChat
Can you play a game?	ImpossibleAction	ChitChat
Can you teleport?	ImpossibleAction	ChitChat
Can you put out a fire?	ImpossibleAction	ChitChat
Can you draw something?	ImpossibleAction	ChitChat
Can you paint my house?	ImpossibleAction	ChitChat
Can you mow the lawn?	ImpossibleAction	ChitChat
Can you make me a sandwich?	ImpossibleAction	ChitChat
Can you make a sculpture?	ImpossibleAction	ChitChat
Can you make a pot of tea?	ImpossibleAction	ChitChat
Can you make a cup of coffee?	ImpossibleAction	ChitChat
Can you make a call?	ImpossibleAction	ChitChat
Can you listen to the radio?	ImpossibleAction	ChitChat
Can you learn?	ImpossibleAction	ChitChat
Can you plant a tree?	ImpossibleAction	ChitChat
Can you jump?	ImpossibleAction	ChitChat
Can you plant a vegetable garden?	ImpossibleAction	ChitChat
Can you go to the moon?	ImpossibleAction	ChitChat
Can you go to the doctor?	ImpossibleAction	ChitChat
Can you go on vacation?	ImpossibleAction	ChitChat
Can you go for a walk?	ImpossibleAction	ChitChat
Can you get a haircut?	ImpossibleAction	ChitChat
Can you fly?	ImpossibleAction	ChitChat
Can you fly	ImpossibleAction	ChitChat
Can you find the remote?	ImpossibleAction	ChitChat
Can you fight with	ImpossibleAction	ChitChat
Can you fight	ImpossibleAction	ChitChat
Are you able to breathe under water?	ImpossibleAction	ChitChat
Can you learn from people chatting with you	ImpossibleAction	ChitChat
Can you send a package?	ImpossibleAction	ChitChat
Can you tie my shoes?	ImpossibleAction	ChitChat
Can you take my temperature?	ImpossibleAction	ChitChat
Can you show me how to put out a fire?	ImpossibleAction	ChitChat
Can you show me how to play a game?	ImpossibleAction	ChitChat
Can you show me how to jump rope?	ImpossibleAction	ChitChat
Can you show me how to go to the moon?	ImpossibleAction	ChitChat
Can you show me how to draw a picture?	ImpossibleAction	ChitChat
Can you show me how to do my homework?	ImpossibleAction	ChitChat
Can you paint?	ImpossibleAction	ChitChat
Can you serve on a jury?	ImpossibleAction	ChitChat
Can you draw a picture?	ImpossibleAction	ChitChat
Can you scratch my back?	ImpossibleAction	ChitChat
Can you read my mind?	ImpossibleAction	ChitChat
Can you predict the future?	ImpossibleAction	ChitChat
Can you play the guitar?	ImpossibleAction	ChitChat
Can you play sports?	ImpossibleAction	ChitChat
Can you play soccer?	ImpossibleAction	ChitChat
Can you play football?	ImpossibleAction	ChitChat
Can you play baseball?	ImpossibleAction	ChitChat
Can you play a dvd?	ImpossibleAction	ChitChat
Can you show me how to breathe under water?	ImpossibleAction	ChitChat
Are you able to go for a walk?	ImpossibleAction	ChitChat
Can you feed the cat?	ImpossibleAction	ChitChat
Are you able to put out a fire?	ImpossibleAction	ChitChat
Are you able to play a game?	ImpossibleAction	ChitChat
Are you able to play a dvd?	ImpossibleAction	ChitChat
Are you able to paint my house?	ImpossibleAction	ChitChat
Are you able to mow the lawn?	ImpossibleAction	ChitChat
Are you able to make a call?	ImpossibleAction	ChitChat
Are you able to listen to the radio?	ImpossibleAction	ChitChat
Are you able to jump rope?	ImpossibleAction	ChitChat
Are you able to scratch my back?	ImpossibleAction	ChitChat
Are you able to go on vacation?	ImpossibleAction	ChitChat
Are you able to send a package?	ImpossibleAction	ChitChat
Are you able to get a haircut?	ImpossibleAction	ChitChat
Are you able to feed the cat?	ImpossibleAction	ChitChat
Are you able to draw something?	ImpossibleAction	ChitChat
Are you able to do my homework?	ImpossibleAction	ChitChat
Are you able to dance?	ImpossibleAction	ChitChat
Are you able to cook dinner?	ImpossibleAction	ChitChat
Are you able to check my email?	ImpossibleAction	ChitChat
Are you able to change the channel?	ImpossibleAction	ChitChat
Are you able to buy groceries?	ImpossibleAction	ChitChat
Are you able to go to the doctor?	ImpossibleAction	ChitChat
Can you bake me cookies?	ImpossibleAction	ChitChat
Can you do my homework?	ImpossibleAction	ChitChat
Can you do my chores?	ImpossibleAction	ChitChat
Can you do fight	ImpossibleAction	ChitChat
Can you dance?	ImpossibleAction	ChitChat
Can you count to a million?	ImpossibleAction	ChitChat
Can you cook me something?	ImpossibleAction	ChitChat
Can you cook dinner?	ImpossibleAction	ChitChat
Can you climb a mountain?	ImpossibleAction	ChitChat
Can you change the channel?	ImpossibleAction	ChitChat
Are you able to read my mind?	ImpossibleAction	ChitChat
Can you water my plants?	ImpossibleAction	ChitChat
Buy groceries	ImpossibleAction	ChitChat
Buy an ad	ImpossibleAction	ChitChat
Brush your teeth	ImpossibleAction	ChitChat
Breathe under water	ImpossibleAction	ChitChat
Balance my checkbook	ImpossibleAction	ChitChat
Are you able to write my report?	ImpossibleAction	ChitChat
Are you able to watch videos?	ImpossibleAction	ChitChat
Are you able to turn into a super hero?	ImpossibleAction	ChitChat
Are you able to teleport?	ImpossibleAction	ChitChat
Are you able to take my temperature?	ImpossibleAction	ChitChat
Are you able to serve on a jury?	ImpossibleAction	ChitChat
Can you buy groceries?	ImpossibleAction	ChitChat
Fly then	ImpossibleAction	ChitChat
Can you turn into a super hero?	ImpossibleAction	ChitChat
Jump rope	ImpossibleAction	ChitChat
Invite me over	ImpossibleAction	ChitChat
How high can you jump?	ImpossibleAction	ChitChat
How high can you count?	ImpossibleAction	ChitChat
Heal me	ImpossibleAction	ChitChat
Go to the moon	ImpossibleAction	ChitChat
Go to the doctor	ImpossibleAction	ChitChat
Go surfing	ImpossibleAction	ChitChat
Go outside	ImpossibleAction	ChitChat
Lets make lemonade	ImpossibleAction	ChitChat
Get a haircut	ImpossibleAction	ChitChat
Let's play a game	ImpossibleAction	ChitChat
Fly a kite	ImpossibleAction	ChitChat
Find the remote	ImpossibleAction	ChitChat
Find my phone	ImpossibleAction	ChitChat
Find my keys	ImpossibleAction	ChitChat
Feed the cat	ImpossibleAction	ChitChat
Draw something	ImpossibleAction	ChitChat
Draw a picture	ImpossibleAction	ChitChat
Do you write	ImpossibleAction	ChitChat
Do you want a beer	ImpossibleAction	ChitChat
Do you ride horses?	ImpossibleAction	ChitChat
Do you play games?	ImpossibleAction	ChitChat
Go for a walk	ImpossibleAction	ChitChat
Send a package	ImpossibleAction	ChitChat
Watch videos	ImpossibleAction	ChitChat
Wash the dishes	ImpossibleAction	ChitChat
Turn on the lights	ImpossibleAction	ChitChat
Turn into a super hero	ImpossibleAction	ChitChat
Tell me a story	ImpossibleAction	ChitChat
Tell me a quote	ImpossibleAction	ChitChat
Teleport	ImpossibleAction	ChitChat
Take my temperature	ImpossibleAction	ChitChat
Take a photo	ImpossibleAction	ChitChat
Surprise me	ImpossibleAction	ChitChat
Lets go lunch	ImpossibleAction	ChitChat
Serve on a jury	ImpossibleAction	ChitChat
Do you know how to turn into a super hero?	ImpossibleAction	ChitChat
Scratch my back	ImpossibleAction	ChitChat
Roll a dice	ImpossibleAction	ChitChat
Read my mind	ImpossibleAction	ChitChat
Read me a story	ImpossibleAction	ChitChat
Put out a fire	ImpossibleAction	ChitChat
Play golf	ImpossibleAction	ChitChat
Play a game	ImpossibleAction	ChitChat
Play a dvd	ImpossibleAction	ChitChat
Paint my house	ImpossibleAction	ChitChat
Mow the lawn	ImpossibleAction	ChitChat
Make a call	ImpossibleAction	ChitChat
So you read?	ImpossibleAction	ChitChat
Do a somersault	ImpossibleAction	ChitChat
Do you know how to buy groceries?	ImpossibleAction	ChitChat
Do you know how to breathe under water?	ImpossibleAction	ChitChat
Do you have superpowers?	ImpossibleAction	ChitChat
Do you gossip?	ImpossibleAction	ChitChat
Do you go skiing?	ImpossibleAction	ChitChat
Do you garden?	ImpossibleAction	ChitChat
Do you cook?	ImpossibleAction	ChitChat
Do you code?	ImpossibleAction	ChitChat
Do my laundry?	ImpossibleAction	ChitChat
Do my homework	ImpossibleAction	ChitChat
Do you know to swim	ImpossibleAction	ChitChat
do drugs	ImpossibleAction	ChitChat
Do you know how to cook dinner?	ImpossibleAction	ChitChat
Do a barrel roll	ImpossibleAction	ChitChat
Do a back flip	ImpossibleAction	ChitChat
Did you watch the superbowl	ImpossibleAction	ChitChat
Dance	ImpossibleAction	ChitChat
Cook me something	ImpossibleAction	ChitChat
Cook dinner	ImpossibleAction	ChitChat
